relative_us,key,sensor_value,travel_units,firmware_mm,calibration_status
0,D,87,64,0.64,255
16005,D,430,198,1.98,255
30998,D,1177,312,3.12,255
45003,D,1584,341,3.41,255
90992,D,1368,330,3.3,255
117115,D,9,301,3.01,255
149119,D,0,0,0,255
343136,A,22,21,0.21,255
360124,A,157,101,1.01,255
376124,A,423,196,1.96,255
392130,A,1328,327,3.27,255
404128,A,1577,341,3.41,255
463123,A,1368,330,3.3,255
493126,A,0,0,0,255
1651145,S,662,249,2.49,255
1664141,S,1588,341,3.41,255
1737148,S,1367,330,3.3,255
1768133,S,0,0,0,255
1888137,S,1599,341,3.41,255
1948140,S,1368,330,3.3,255
1978148,S,0,0,0,255
3193152,S,73,56,0.56,255
3211160,S,1506,341,3.41,255
3223148,S,1594,341,3.41,255
3284147,S,1367,330,3.3,255
3328152,S,0,0,0,255
8296339,A,823,275,2.75,255
8309210,A,1581,341,3.41,255
8398212,A,1368,330,3.3,255
8428221,A,0,0,0,255
11790380,A,205,124,1.24,255
11806376,A,930,290,2.9,255
11819362,A,1575,341,3.41,255
11864379,A,1365,330,3.3,255
11892378,A,0,0,0,255
19710578,A,414,194,1.94,255
19725571,A,1579,341,3.41,255
19813573,A,1360,330,3.3,255
19843572,A,0,0,0,255
25228631,W,84,63,0.63,255
25261721,W,1190,314,3.14,255
25275631,W,1595,341,3.41,255
25348638,W,1364,330,3.3,255
25377767,W,171,301,3.01,255
25438757,W,0,0,0,255
25665640,S,1589,341,3.41,255
25738639,S,1509,341,3.41,255
25752638,S,1365,330,3.3,255
25828769,S,0,0,0,255
28168802,A,27,24,0.24,255
28186806,A,265,147,1.47,255
28201799,A,696,253,2.53,255
28217790,A,1228,317,3.17,255
28229789,A,1301,325,3.25,255
28243792,A,1203,315,3.15,255
28275791,A,210,286,2.86,255
28303667,A,0,0,0,255
32758832,W,27,24,0.24,255
32791830,W,1434,334,3.34,255
32804830,W,1592,341,3.41,255
32819834,A,100,72,0.72,255
32834829,A,173,108,1.08,255
32851834,A,667,250,2.5,255
32867831,A,1520,341,3.41,255
32879832,W,1365,330,3.3,255
32907835,W,421,301,3.01,255
32938834,W,0,0,0,255
32972826,A,1451,335,3.35,255
32983831,A,1366,330,3.3,255
33013835,A,0,0,0,255
36077006,A,729,258,2.58,255
36091014,A,1576,341,3.41,255
36180004,A,1366,330,3.3,255
36207872,A,0,0,0,255
36436922,S,598,236,2.36,255
36450880,S,1589,341,3.41,255
36524017,S,1362,330,3.3,255
36553004,S,0,0,0,255
153648731,D,17,16,0.16,255
153666729,D,150,98,0.98,255
153681716,D,458,204,2.04,255
153696730,D,1181,313,3.13,255
153709723,D,1591,341,3.41,255
153769719,D,1365,330,3.3,255
153797718,D,0,0,0,255
156215890,S,436,200,2,255
156231878,S,1530,341,3.41,255
156319757,S,1367,330,3.3,255
156347751,S,63,301,3.01,255
156377742,S,0,0,0,255
158328777,A,103,74,0.74,255
158346773,A,1112,307,3.07,255
158362779,A,1580,341,3.41,255
158404894,A,1362,330,3.3,255
158434894,A,9,301,3.01,255
158462912,A,0,0,0,255
158916903,A,246,140,1.4,255
158931896,A,834,275,2.75,255
158945897,A,1589,341,3.41,255
159004908,A,1366,330,3.3,255
159032775,A,182,301,3.01,255
159062775,A,0,0,0,255
167435989,D,230,134,1.34,255
167452116,D,1591,341,3.41,255
167540988,D,1363,330,3.3,255
167583987,D,132,301,3.01,255
167615990,D,0,0,0,255
168604125,D,72,56,0.56,255
168622003,D,1578,341,3.41,255
168694127,D,1368,330,3.3,255
168726128,D,0,0,0,255
171337158,A,1578,341,3.41,255
171424155,A,1365,330,3.3,255
171454158,A,0,0,0,255
179527368,A,1449,334,3.34,255
179539245,A,1586,341,3.41,255
179614394,A,1362,330,3.3,255
179644364,A,0,0,0,255
179780365,S,131,88,0.88,255
179797369,S,711,256,2.56,255
179811356,S,1596,341,3.41,255
179854363,S,1445,335,3.35,255
179868373,S,1368,330,3.3,255
179898364,S,15,301,3.01,255
179928362,S,0,0,0,255
180664428,S,22,20,0.2,255
180681383,S,110,78,0.78,255
180697447,S,227,134,1.34,255
180712380,S,482,210,2.1,255
180728378,S,1347,328,3.28,255
180740374,S,1594,341,3.41,255
180859382,S,0,0,0,255
181507384,A,374,184,1.84,255
181522389,A,1569,341,3.41,255
181595404,A,1365,330,3.3,255
181623394,A,0,0,0,255
183065404,A,335,172,1.72,255
183081400,A,1575,341,3.41,255
183155399,A,1364,330,3.3,255
183199415,A,0,0,0,255
392432330,S,278,152,1.52,255
392446323,S,1583,341,3.41,255
392563318,S,1368,330,3.3,255
392594325,S,0,0,0,255
392807321,D,199,121,1.21,255
392822320,D,917,287,2.87,255
392836316,D,1589,341,3.41,255
392955448,D,1422,334,3.34,255
392968445,D,1368,330,3.3,255
392998452,D,17,301,3.01,255
393043320,D,0,0,0,255
