relative_us,key,report_id,sensor_value,travel_units,firmware_mm,calibration_status,payload_hex
0,A,0,17,17,0.17,255,a0 10 00 04 00 11 00 11 11 01 ff 00 06 09 01 55 2c 91 0b 30 00 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
14967,A,0,61,48,0.48,255,a0 10 00 04 00 3d 00 30 30 01 ff 00 06 09 01 55 2c 1b 0b 30 00 16 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
30009,A,0,110,78,0.78,255,a0 10 00 04 00 6e 00 4e 08 01 ff 00 06 09 01 55 2b 95 0b 30 00 19 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
46014,A,0,164,104,1.04,255,a0 10 00 04 00 a4 00 68 04 01 ff 00 06 09 01 55 2b 04 0b 30 00 19 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
59982,A,0,194,118,1.18,255,a0 10 00 04 00 c2 00 76 08 01 ff 00 06 09 01 55 2a b3 0b 30 00 19 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
74973,A,0,215,130,1.30,255,a0 10 00 04 00 d7 00 82 00 01 ff 00 06 09 01 55 2a 7a 0b 30 00 19 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
89979,A,0,220,132,1.32,255,a0 10 00 04 00 dc 00 84 02 01 ff 00 06 09 01 55 2a 6c 0b 30 00 19 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
135972,A,0,270,148,1.48,255,a0 10 00 04 01 0e 00 94 08 01 ff 00 06 09 01 55 29 e6 0b 30 00 1f 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
151975,A,0,373,182,1.82,255,a0 10 00 04 01 75 00 b6 02 01 ff 00 06 09 01 55 28 cf 0b 30 00 27 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
166968,A,0,477,210,2.10,255,a0 10 00 04 01 dd 00 d2 00 01 ff 00 06 09 01 55 27 b6 0b 30 00 27 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
